R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
205;Nordlund Markus;HC Ambri-Piotta;Verteidiger;35;12;6;0;0;0;0
206;Nilsson Robert;ZSC Lions;Stürmer;31;12;6;0;0;0;0
207;Mueller Peter;Kloten Flyers;Stürmer;49;12;6;0;0;0;0
208;Kobach Reto;HC Ambri-Piotta;Verteidiger;37;12;6;0;0;0;0
209;Haas Gaëtan;EHC Biel;Stürmer;29;12;6;0;0;0;0
210;Geyer Cyrill;SC Rapperswil-Jona Lakers;Verteidiger;32;12;6;0;0;0;0
211;Gardner Ryan;SC Bern;Stürmer;48;12;6;0;0;0;0
212;Dostoinov Alexei;SC Bern;Stürmer;44;12;6;0;0;0;0
213;Casutt Corsin;EV Zug;Stürmer;43;12;6;0;0;0;0
214;Von Arx Jan;HC Davos;Verteidiger;47;10;5;0;0;0;0
215;Ulmann Tim;Lausanne HC;Stürmer;25;10;5;0;0;0;0
