R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
204;Peter Emanuel;EV Zug;Stürmer;37;0;0;0;-;0
205;Paulsson Marcus;HC Davos;Stürmer;21;0;0;0;-;0
206;Paschoud Claude-C.;HC Davos;Verteidiger;50;0;0;0;-;0
207;Olver Marc;Kloten Flyers;Stürmer;8;0;0;0;-;0
208;Obrist Patrick;Kloten Flyers;Stürmer;40;0;0;0;-;0
209;Nordlund Markus;HC Ambri-Piotta;Verteidiger;9;0;0;0;-;0
210;Nodari Matteo;Lausanne HC;Verteidiger;45;0;0;0;-;0
211;Ngoy Michael;Fribourg-Gottéron;Verteidiger;50;0;0;0;-;0
212;Neukom Benjamin;Fribourg-Gottéron;Stürmer;41;0;0;0;-;0
213;Neuenschwander Jan;ZSC Lions;Stürmer;42;0;0;0;-;0
214;Neuenschwander Caryl;Fribourg-Gottéron;Stürmer;28;0;0;0;-;0
215;Ness Martin;SC Bern;Stürmer;8;0;0;0;-;0
216;Nater Jens;HC Davos;Verteidiger;9;0;0;0;-;0
217;Murray Jordan;SCL Tigers;Stürmer;14;0;0;0;-;0
218;Müller Yves;SCL Tigers;Verteidiger;37;0;0;0;-;0
219;Müller Marco;SC Bern;Stürmer;38;0;0;0;-;0
220;Moss David;EHC Biel;Stürmer;19;0;0;0;-;0
221;Morini Giovanni;HC Lugano;Stürmer;30;0;0;0;-;0
222;Morant Johan;EV Zug;Verteidiger;47;0;0;0;-;0
