R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
305;Winkler Benjamin;SC Rapperswil-Jona Lakers;Verteidiger;29;0;2;0;2;0;0;2;0;0;0;0
306;Sterchi Simon;SCL Tigers;Stürmer;26;0;2;0;2;0;0;1;0;1;0;0
307;Weber Tim;HC Ambri-Piotta;Stürmer;34;0;1;1;0;0;0;1;0;0;0;0
308;Untersander Ramon;EHC Biel;Verteidiger;29;0;1;1;0;0;0;1;0;0;0;0
309;Polak Vojtech;HC Davos;Stürmer;5;0;1;1;0;0;0;1;0;0;0;0
310;McCarthy Steve;ZSC Lions;Verteidiger;8;0;1;1;0;0;0;1;0;0;0;0
311;Kreis Samuel;SC Bern;Verteidiger;7;0;1;1;0;0;0;1;0;0;0;0
312;Fretter Colton;Kloten Flyers;Stürmer;2;0;1;1;0;0;0;1;0;0;0;0
313;Erni Samuel;EV Zug;Verteidiger;5;0;1;1;0;0;0;1;0;0;0;0
314;Corvi Enzo;HC Davos;Stürmer;31;0;1;1;0;0;0;1;0;0;0;0
315;Carle Mathieu;Genève-Servette HC;Verteidiger;12;0;1;1;0;0;0;0;0;1;0;0
