R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
94;Toms Jeff;SCL Tigers;Stürmer;23;41;8;1;0;1;0
95;Rüthemann Ivo;SC Bern;Stürmer;37;41;3;1;1;1;0
96;Trachsler Morris;Genève-Servette HC;Stürmer;50;40;20;0;0;0;0
97;Steiner Daniel;SCL Tigers;Stürmer;50;40;15;0;1;0;0
98;Micheli Claudio;HC Ambri-Piotta;Stürmer;50;40;15;0;1;0;0
99;Meier Dominic;EV Zug;Verteidiger;41;40;20;0;0;0;0
100;Wieser Dino;HC Davos;Stürmer;45;38;19;0;0;0;0
101;Wick Roman;Kloten Flyers;Stürmer;45;38;14;0;1;0;0
102;Voisard Gaetan;SC Rapperswil-Jona Lakers;Verteidiger;48;38;19;0;0;0;0
103;Rintanen Kimmo;Kloten Flyers;Stürmer;50;38;9;0;2;0;0
104;Murphy Curtis;SCL Tigers;Verteidiger;27;38;14;0;1;0;0
105;Meier Daniel;SC Bern;Stürmer;49;38;14;0;1;0;0
106;Conne Flavien;HC Lugano;Stürmer;33;38;14;0;1;0;0
107;Moser Simon;SCL Tigers;Stürmer;47;37;6;1;0;1;0
108;Helfenstein Sven;SCL Tigers;Stürmer;30;37;6;1;0;1;0
109;Walker Julian;HC Ambri-Piotta;Stürmer;50;36;18;0;0;0;0
110;Rubin Daniel;Genève-Servette HC;Stürmer;43;36;18;0;0;0;0
111;Jobin David;SC Bern;Verteidiger;39;36;8;0;2;0;0
112;Diaz Raphael;EV Zug;Verteidiger;50;36;18;0;0;0;0
113;Breitbach Robin;Genève-Servette HC;Verteidiger;45;36;18;0;0;0;0
114;Bastl Mark;ZSC Lions;Stürmer;49;36;13;0;1;0;0
115;Berger Sven;SC Rapperswil-Jona Lakers;Verteidiger;50;35;5;1;0;1;0
116;Walser Thomas;Kloten Flyers;Stürmer;51;34;17;0;0;0;0
117;Stancescu Victor;Kloten Flyers;Stürmer;46;34;17;0;0;0;0
118;Peter Emanuel;EHC Biel;Stürmer;50;34;17;0;0;0;0
119;Riesen Michel;HC Davos;Stürmer;50;32;11;0;1;0;0
120;Monnet Thibaut;ZSC Lions;Stürmer;50;32;11;0;1;0;0
121;Kamber Oliver;ZSC Lions;Stürmer;37;32;16;0;0;0;0
122;Furrer Philippe;SC Bern;Verteidiger;36;32;11;0;1;0;0
123;Dubé Christian;SC Bern;Stürmer;46;32;16;0;0;0;0
124;Du Bois Felicien;Kloten Flyers;Verteidiger;45;32;11;0;1;0;0
125;Bundi Ralph;HC Ambri-Piotta;Verteidiger;36;32;16;0;0;0;0
126;Steinmann Janick;EV Zug;Stürmer;49;30;15;0;0;0;0
127;Sidler Patrick;Kloten Flyers;Verteidiger;50;30;15;0;0;0;0
128;Reist Alain;Fribourg-Gottéron;Verteidiger;48;30;15;0;0;0;0
129;Oppliger Patrick;EV Zug;Stürmer;43;30;15;0;0;0;0
130;McTavish Dale;EV Zug;Stürmer;18;30;10;0;1;0;0
131;Horak Jakub;HC Ambri-Piotta;Verteidiger;36;30;15;0;0;0;0
132;Furrer Andreas;HC Davos;Verteidiger;49;30;15;0;0;0;0
133;Ehrensperger Gianni;EHC Biel;Stürmer;47;30;15;0;0;0;0
134;Demuth Alain;HC Ambri-Piotta;Stürmer;48;30;15;0;0;0;0
135;Bonnet Julien;Kloten Flyers;Verteidiger;44;30;15;0;0;0;0
136;Blum Eric-Ray;SCL Tigers;Verteidiger;36;30;15;0;0;0;0
137;Chatelain Alexander;SC Bern;Stürmer;38;29;2;1;0;0;1
138;Celio Nicola;HC Ambri-Piotta;Verteidiger;48;29;2;1;0;1;0
139;Seydoux Philippe;Fribourg-Gottéron;Verteidiger;30;28;14;0;0;0;0
140;Sejna Peter;ZSC Lions;Stürmer;41;28;9;0;1;0;0
141;Savary Paul;Genève-Servette HC;Stürmer;42;28;14;0;0;0;0
142;Salmelainen Tony;Genève-Servette HC;Stürmer;29;28;9;0;1;0;0
143;Leuenberger Marc;SC Bern;Verteidiger;49;28;14;0;0;0;0
144;Kparghai Clarence;EHC Biel;Verteidiger;50;28;14;0;0;0;0
145;Gianola Marc;HC Davos;Verteidiger;47;28;14;0;0;0;0
146;Gardner Ryan;ZSC Lions;Stürmer;50;28;4;0;2;0;0
147;Bucher Tobias;EV Zug;Stürmer;15;27;1;1;0;1;0
148;Stephan Fabian;HC Ambri-Piotta;Verteidiger;48;26;8;0;1;0;0
149;Siren Niki;SC Rapperswil-Jona Lakers;Verteidiger;44;26;13;0;0;0;0
150;Rothen Frederic;Kloten Flyers;Stürmer;34;26;8;0;1;0;0
151;Pohl John;HC Lugano;Stürmer;22;26;13;0;0;0;0
152;Murray Brady;HC Lugano;Stürmer;36;26;8;0;1;0;0
153;Müller Pascal;ZSC Lions;Verteidiger;31;26;13;0;0;0;0
154;Mowers Mark;Fribourg-Gottéron;Stürmer;23;26;8;0;1;0;0
155;Maurer Marco;EV Zug;Verteidiger;50;26;8;0;1;0;0
156;Gautschi Marc;HC Ambri-Piotta;Verteidiger;38;26;13;0;0;0;0
157;Cantoni Krister;HC Lugano;Verteidiger;48;26;13;0;0;0;0
158;Brown Curtis;Kloten Flyers;Stürmer;44;26;13;0;0;0;0
159;Vauclair Geoffrey;Fribourg-Gottéron;Stürmer;33;24;12;0;0;0;0
160;Tschantré Mathieu;EHC Biel;Stürmer;42;24;12;0;0;0;0
161;Rizzi Sandro;HC Davos;Verteidiger;50;24;7;0;1;0;0
162;Reuille Sebastien;SC Rapperswil-Jona Lakers;Stürmer;46;24;7;0;1;0;0
163;Moser Christian;SCL Tigers;Verteidiger;50;24;12;0;0;0;0
164;Moggi Sandro;SCL Tigers;Stürmer;42;24;7;0;1;0;0
165;Kostovic Dario;HC Lugano;Stürmer;50;24;12;0;0;0;0
166;Fedulov Igor;Genève-Servette HC;Stürmer;40;24;12;0;0;0;0
167;Blatter Florian;HC Davos;Verteidiger;48;24;12;0;0;0;0
168;Plüss Benny;Fribourg-Gottéron;Stürmer;29;22;11;0;0;0;0
169;Mattioli Daniele;HC Ambri-Piotta;Verteidiger;18;22;11;0;0;0;0
170;Knoepfli Michael;Fribourg-Gottéron;Stürmer;50;22;11;0;0;0;0
171;Kariya Martin;SCL Tigers;Stürmer;50;22;11;0;0;0;0
172;Kamerzin Jérémie;EHC Biel;Verteidiger;44;22;11;0;0;0;0
