Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Ambühl Andres,Forward,HC Davos,ts/15,50,14.0,111.0,12.61,2.22,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,100,1.0,1
Ambühl Andres,Forward,ZSC Lions,es/10,50,,,,,,,,,,,,,,,,,,,18.0,0.0,1.0,0.0,0.0,,,,,,1
Ambühl Andres,Forward,ZSC Lions,es/11,48,,,,,,,,,,,,,,,,,,,15.0,0.0,3.0,0.0,0.0,,,,,,1
Ambühl Andres,Forward,ZSC Lions,es/12,45,,,,,,,,,,,,,,,,,,,13.0,0.0,0.0,0.0,0.0,,,,,,1
Ambühl Andres,Forward,ZSC Lions,ls/10,50,,,,,,,,,,11.0,5.0,4.0,10.0,10.0,1.0,6.0,0.0,0.0,,,,,,,,,,,1
Ambühl Andres,Forward,ZSC Lions,ls/11,48,,,,,,,,,,6.0,11.0,4.0,12.0,13.0,2.0,2.0,0.0,2.0,,,,,,,,,,,1
Ambühl Andres,Forward,ZSC Lions,ls/12,45,,,,,,,,,,6.0,2.0,5.0,13.0,4.0,4.0,4.0,2.0,0.0,,,,,,,,,,,1
Ambühl Andres,Forward,ZSC Lions,ry/10,50,,,,,16.0,27.0,0.54,46.0,-11.0,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,ZSC Lions,ry/11,48,,,,,17.0,31.0,0.65,60.0,6.0,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,ZSC Lions,ry/12,45,,,,,8.0,27.0,0.6,26.0,3.0,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,ZSC Lions,ts/10,50,11.0,103.0,10.68,2.06,,,,,,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,ZSC Lions,ts/11,48,14.0,145.0,9.66,3.02,,,,,,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,ZSC Lions,ts/12,45,19.0,100.0,19,2.22,,,,,,,,,,,,,,,,,,,,,,,,,1
Amstutz Reto,Forward,SC Bern,es/11,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1
Amstutz Reto,Forward,SC Bern,ls/11,1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Amstutz Reto,Forward,SC Bern,ry/11,1,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1
Amstutz Reto,Forward,SC Bern,ts/11,1,0.0,0.0,-,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1
Andersson Calle,Defender,HC Lugano,es/14,48,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,0.0,0.0,,,,,,1
Andersson Calle,Defender,HC Lugano,ls/14,48,,,,,,,,,,7.0,7.0,0.0,3.0,8.0,3.0,5.0,0.0,1.0,,,,,,,,,,,1
Andersson Calle,Defender,HC Lugano,ry/14,48,,,,,14.0,20.0,0.42,22.0,-6.0,,,,,,,,,,,,,,,,,,,,1
Andersson Calle,Defender,HC Lugano,ts/14,48,6.0,66.0,9.09,1.38,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-,0.0,1
Andersson Jonas,Forward,Kloten Flyers,es/14,5,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1
