R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
200;Bundi Ralph;HC Ambri-Piotta;Verteidiger;36;1;33;3.03;0.92
201;Voisard Gaetan;SC Rapperswil-Jona Lakers;Verteidiger;48;2;32;6.25;0.67
202;Tschuor Sandro;SC Rapperswil-Jona Lakers;Stürmer;49;1;32;3.12;0.65
203;Murovic Mirko;HC Ambri-Piotta;Stürmer;35;6;32;18.75;0.91
204;Mercier Jonathan;Genève-Servette HC;Verteidiger;42;0;32;0;0.76
205;Helfenstein Sven;SCL Tigers;Stürmer;30;4;32;12.5;1.07
206;Healey Eric;SCL Tigers;Stürmer;13;5;32;15.62;2.46
207;Schönenberger Lovis;HC Ambri-Piotta;Stürmer;41;0;31;0;0.76
208;Lauper Adrien;Fribourg-Gottéron;Stürmer;43;1;31;3.23;0.72
209;Schnyder Daniel;ZSC Lions;Verteidiger;40;2;30;6.67;0.75
210;Gossweiler Manuel;EHC Biel;Verteidiger;50;1;30;3.33;0.60
211;Tschannen Stefan;EHC Biel;Stürmer;38;1;28;3.57;0.74
212;Savary Paul;Genève-Servette HC;Stürmer;42;5;28;17.86;0.67
213;Gerber Lukas;HC Davos;Verteidiger;44;0;28;0;0.64
214;Kellenberger Steve;Kloten Flyers;Stürmer;36;2;27;7.41;0.75
215;Schilt Sebastian;Genève-Servette HC;Verteidiger;50;0;26;0;0.52
216;Kparghai Clarence;EHC Biel;Verteidiger;50;0;26;0;0.52
217;Goren Lee;EV Zug;Stürmer;9;5;26;19.23;2.89
218;Conz Florian;Genève-Servette HC;Stürmer;40;3;26;11.54;0.65
219;Chatelain Alexander;SC Bern;Stürmer;38;2;26;7.69;0.68
220;Stephan Fabian;HC Ambri-Piotta;Verteidiger;48;0;25;0;0.52
221;Bayer Marco;SCL Tigers;Verteidiger;29;4;25;16;0.86
222;Stoop Lukas;HC Davos;Verteidiger;37;2;24;8.33;0.65
223;Hänni Andreas;HC Lugano;Verteidiger;49;0;24;0;0.49
