Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Sa;24.09.2011;19:45;EHC Biel;Fribourg-Gottéron; 2:3; 1:1|0:1|1:0|0:1;OT;;False;Biel;4688
Sa;24.09.2011;19:45;Kloten Flyers;SC Rapperswil-Jona Lakers; 4:3; 2:1|0:0|2:2;;;False;Kolping Arena Kloten;5247
Sa;24.09.2011;19:45;ZSC Lions;HC Davos; 3:4; 2:1|0:2|1:1;;;False;Hallenstadion Zürich;10105
Sa;24.09.2011;19:45;EV Zug;SCL Tigers; 4:2; 0:1|3:0|1:1;;;False;Bossard Arena Zug;6050
Sa;24.09.2011;19:55;Genève-Servette HC;SC Bern; 2:3; 0:2|0:0|2:1;;;False;Les Vernets Genève;6101
Sa;24.09.2011;20:15;HC Lugano;HC Ambri-Piotta; 4:2; 0:0|1:1|3:1;;;False;Resega Lugano;7800
Di;27.09.2011;19:45;Genève-Servette HC;Kloten Flyers; 3:1; 0:0|0:1|3:0;;;False;Les Vernets Genève;6100
Di;27.09.2011;19:45;ZSC Lions;HC Ambri-Piotta; 0:3; 0:0|0:2|0:1;;;False;Hallenstadion Zürich;6393
Di;27.09.2011;19:46;Fribourg-Gottéron;EHC Biel; 4:1; 2:1|2:0|0:0;;;False;Fribourg BCF Arena;6000
Fr;30.09.2011;19:45;HC Ambri-Piotta;ZSC Lions; 2:5; 1:2|0:2|1:1;;;False;Ambri Valascia;5091
Fr;30.09.2011;19:45;SC Bern;SCL Tigers; 7:3; 3:2|3:0|1:1;;;False;PostFinance Arena;16038
Fr;30.09.2011;19:45;Fribourg-Gottéron;HC Davos; 2:3; 0:1|1:1|1:1;;;False;Fribourg BCF Arena;6800
Fr;30.09.2011;19:45;Kloten Flyers;EV Zug; 6:7; 2:2|2:2|2:2|0:1;SO;;False;Kolping Arena Kloten;5664
Fr;30.09.2011;19:45;SC Rapperswil-Jona Lakers;Genève-Servette HC; 3:0; 1:0|0:0|2:0;;;False;Diners Club Arena;3304
