Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Fr;03.01.2014;19:45;SC Rapperswil-Jona Lakers;HC Davos; 3:1; 3:0|0:0|0:1;;;False;Diners Club Arena, Rapperswil;5818
Fr;03.01.2014;19:45;EV Zug;HC Ambri-Piotta; 3:2; 1:1|0:1|2:0;;;False;BOSSARD Arena, Zug;7015
Sa;04.01.2014;19:45;HC Ambri-Piotta;EV Zug; 4:3; 0:0|2:3|1:0|1:0;SO;;False;Stadio Valascia, Ambri;6500
Sa;04.01.2014;19:45;SC Bern;Genève-Servette HC; 0:2; 0:0|0:1|0:1;;;False;PostFinance-Arena, Bern;16811
Sa;04.01.2014;19:45;HC Davos;SC Rapperswil-Jona Lakers; 6:2; 2:1|2:1|2:0;;;False;Vaillant Arena, Davos;5578
Sa;04.01.2014;19:45;Fribourg-Gottéron;EHC Biel; 2:7; 1:1|1:3|0:3;;;False;BCF Arena, Fribourg;6700
Sa;04.01.2014;19:45;HC Lugano;Lausanne HC; 3:1; 0:0|1:0|2:1;;;False;Pista Resega, Porza;4822
So;05.01.2014;15:45;Kloten Flyers;ZSC Lions; 3:4; 1:0|1:1|1:3;;;False;Kolping Arena, Kloten;7505
Di;07.01.2014;19:45;HC Lugano;ZSC Lions; 3:4; 2:0|1:0|0:4;;;False;Pista Resega, Porza;4425
Di;07.01.2014;19:45;HC Davos;SC Bern; 2:4; 1:1|0:2|1:1;;;False;Vaillant Arena, Davos;4133
Di;07.01.2014;19:45;SC Rapperswil-Jona Lakers;EHC Biel; 3:2; 0:0|0:2|3:0;;;False;Diners Club Arena, Rapperswil;3631
Di;07.01.2014;19:45;Lausanne HC;HC Ambri-Piotta; 0:1; 0:1|0:0|0:0;;;False;P. de Malley, Lausanne;5765
Di;07.01.2014;19:45;EV Zug;Kloten Flyers; 2:4; 1:2|1:1|0:1;;;False;BOSSARD Arena, Zug;5546
Di;07.01.2014;19:45;Fribourg-Gottéron;Genève-Servette HC; 6:3; 2:0|3:0|1:3;;;False;BCF Arena, Fribourg;6335
Fr;10.01.2014;19:45;EHC Biel;HC Davos; 1:2; 0:0|0:1|1:1;;;False;Eisstadion, Biel-Bienne;4952
Fr;10.01.2014;19:45;Kloten Flyers;Lausanne HC; 2:1; 1:0|0:0|0:1|1:0;OT;;False;Kolping Arena, Kloten;4767
