R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
46;Blindenbacher Severin;ZSC Lions;Verteidiger;18;1;3;4;0.22;16;-1
47;Hollenstein Denis;Genève-Servette HC;Stürmer;12;1;3;4;0.33;18;-2
48;Pettersson Fredrik;HC Lugano;Stürmer;5;1;3;4;0.80;2;-1
49;Rod Noah;Genève-Servette HC;Stürmer;12;1;3;4;0.33;4;3
50;Bezina Goran;Genève-Servette HC;Verteidiger;12;0;4;4;0.33;35;3
51;Geering Patrick;ZSC Lions;Verteidiger;16;0;4;4;0.25;27;5
52;Rivera Christopher;Genève-Servette HC;Stürmer;12;3;0;3;0.25;8;1
53;Mueller Peter;Kloten Flyers;Stürmer;10;2;1;3;0.30;4;-3
54;Seger Mathias;ZSC Lions;Verteidiger;17;2;1;3;0.18;26;4
55;Baltisberger Chris;ZSC Lions;Stürmer;17;2;1;3;0.18;4;1
56;Petrell Lennart;Genève-Servette HC;Stürmer;12;1;2;3;0.25;0;2
57;Sannitz Raffaele;HC Lugano;Stürmer;5;1;2;3;0.60;4;0
58;Jenni Marcel;Kloten Flyers;Stürmer;15;1;2;3;0.20;16;0
59;Monnet Thibaut;Fribourg-Gottéron;Stürmer;9;1;2;3;0.33;0;2
60;Forster Beat;HC Davos;Verteidiger;6;1;2;3;0.50;6;3
61;Helbling Timo;Fribourg-Gottéron;Verteidiger;10;1;2;3;0.30;12;-1
62;Schäppi Reto;ZSC Lions;Stürmer;18;0;3;3;0.17;8;-3
63;Stoop Lukas;Kloten Flyers;Verteidiger;9;0;3;3;0.33;4;4
64;Koistinen Ville;HC Davos;Verteidiger;6;0;3;3;0.50;2;-2
65;Mercier Jonathan;Genève-Servette HC;Verteidiger;12;0;3;3;0.25;2;9
66;Von Arx Reto;HC Davos;Stürmer;3;0;3;3;1.00;4;2
67;Giroux Alexandre;HC Ambri-Piotta;Stürmer;4;2;0;2;0.50;4;2
68;Vauclair Tristan;Fribourg-Gottéron;Stürmer;10;2;0;2;0.20;6;1
