R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
84;Gardner Ryan;ZSC Lions;Stürmer;4;1;0;0;0;0;0;0;1;0;0;0
85;Chouinard Marc;Fribourg-Gottéron;Stürmer;3;1;0;0;0;1;1;0;0;0;0;0
86;Bodemann Yanick;EV Zug;Stürmer;10;1;0;0;0;0;1;0;0;0;0;0
87;Blatter Florian;HC Davos;Verteidiger;21;1;0;0;0;0;1;0;0;0;0;0
88;Back Rene;EV Zug;Verteidiger;10;1;0;0;0;1;0;0;1;0;0;0
89;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;11;1;0;0;0;0;1;0;0;0;0;0
90;Fischer Patrick;EV Zug;Stürmer;10;0;5;2;3;0;0;2;0;3;0;0
91;Birbaum Alain;Fribourg-Gottéron;Verteidiger;11;0;4;1;3;0;0;2;0;2;0;0
92;Aubin Serge;Genève-Servette HC;Stürmer;4;0;3;3;0;0;0;3;0;0;0;0
93;Trachsler Morris;Genève-Servette HC;Stürmer;4;0;3;2;1;0;0;3;0;0;0;0
