Spieler,Pos,Team,year,GP,G,A,PTS,P/GP,PIM Total,+/-,Number of year,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,SOG,S%,SOG/GP,2' ,5',10',GM,MP
Abid Ramzi,Forward,SC Bern,08-09,1,0,0,0,0.0,12,0,1,0,0,0,0,0,0,0,0,0,2,0,2.0,1,0,1,0,0
Abplanalp Marc,Defender,Fribourg-Gottéron,08-09,11,1,0,1,0.09,2,0,1,0,0,0,1,0,0,0,0,0,10,10,0.91,1,0,0,0,0
Abplanalp Marc,Defender,Fribourg-Gottéron,09-10,7,2,3,5,0.71,2,2,1,2,1,0,2,2,0,1,0,0,8,25,1.14,1,0,0,0,0
Abplanalp Marc,Defender,Fribourg-Gottéron,10-11,4,0,0,0,0.0,4,-2,1,0,0,0,0,0,0,0,0,0,1,0,0.25,2,0,0,0,0
Abplanalp Marc,Defender,Fribourg-Gottéron,11-12,9,0,0,0,0.0,0,-2,1,0,0,0,0,0,0,0,0,0,6,0,0.67,0,0,0,0,0
Abplanalp Marc,Defender,Fribourg-Gottéron,12-13,17,0,6,6,0.35,4,4,1,3,3,0,0,5,0,0,0,1,20,0,1.18,2,0,0,0,0
Abplanalp Marc,Defender,Fribourg-Gottéron,13-14,5,0,0,0,0.0,0,-2,1,0,0,0,0,0,0,0,0,0,4,0,0.8,0,0,0,0,0
Abplanalp Marc,Defender,Fribourg-Gottéron,15-16,5,1,0,1,0.2,4,0,1,0,0,1,1,0,0,0,0,0,5,20,1.0,2,0,0,0,0
Abplanalp Sandro,Forward,Fribourg-Gottéron,08-09,4,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Aeschlimann Marc,Forward,HC Davos,13-14,2,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1.0,0,0,0,0,0
Aeschlimann Marc,Forward,HC Davos,15-16,9,0,2,2,0.22,2,1,1,1,1,0,0,2,0,0,0,0,7,0,0.78,1,0,0,0,0
Afanasenkov Dmitry,Forward,Fribourg-Gottéron,11-12,3,1,0,1,0.33,0,-1,1,0,0,0,1,0,0,0,0,0,8,12.5,2.67,0,0,0,0,0
Akerman Johan,Defender,HC Lugano,09-10,3,0,0,0,0.0,2,-1,1,0,0,0,0,0,0,0,0,0,4,0,1.33,1,0,0,0,0
Alatalo Santeri,Defender,EV Zug,14-15,6,0,1,1,0.17,6,-1,1,1,0,0,0,0,0,1,0,0,8,0,1.33,3,0,0,0,0
Alatalo Santeri,Defender,EV Zug,15-16,4,0,0,0,0.0,6,-5,1,0,0,0,0,0,0,0,0,0,5,0,1.25,3,0,0,0,0
Alatalo Santeri,Defender,HC Davos,12-13,3,0,0,0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.33,1,0,0,0,0
Almond Cody,Forward,Genève-Servette HC,12-13,7,0,2,2,0.29,18,1,1,1,1,0,0,2,0,0,0,0,13,0,1.86,4,0,1,0,0
Almond Cody,Forward,Genève-Servette HC,13-14,12,0,5,5,0.42,6,3,1,2,3,0,0,4,0,1,0,0,24,0,2.0,3,0,0,0,0
Almond Cody,Forward,Genève-Servette HC,14-15,12,3,6,9,0.75,16,3,1,4,2,1,1,4,1,0,1,2,23,13.04,1.92,8,0,0,0,0
